,,volume
2019-09-01,375,110.45421970197103
2019-09-01,417,109.95165309024672
2019-09-01,30,61.963142181844184
2019-09-01,390,104.21157328181579
2019-09-01,66,123.84133305262598
2019-09-01,440,119.59605731992977
2019-09-01,447,103.51972034477738
2019-09-01,14,221.1438626316206
2019-09-01,337,68.76003488062153
2019-09-02,446,76.22804190706847
2019-09-02,393,96.51541811559942
2019-09-02,414,88.7191993684671
2019-09-02,55,59.53516212692615
2019-09-02,266,55.06893305409496
2019-09-02,58,185.74367371561064
2019-09-02,56,57.39335583928425
2019-09-02,404,82.98422585293262
2019-09-02,3,222.71875228777873
2019-09-02,244,63.4615339726916
2019-09-02,303,45.59245953720861
2019-09-03,140,124.67077368354688
2019-09-03,439,116.91087481270421
2019-09-03,222,81.15766607203179
2019-09-03,275,106.03665705855023
2019-09-03,249,62.917229980005644
2019-09-03,124,89.67296818676608
2019-09-03,48,122.03008473364976
2019-09-03,142,60.55896351988542
2019-09-03,61,91.86231222339923
2019-09-03,21,69.85841597946784
2019-09-03,33,91.64142604377503
2019-09-03,371,112.23234503826961
2019-09-03,432,102.20457127387182
2019-09-03,147,100.23542276185474
2019-09-04,275,100.00566148489017
2019-09-04,122,144.0137744486275
2019-09-04,320,97.42333192513811
2019-09-04,247,145.3720529379444
2019-09-04,288,78.1962702448019
2019-09-04,91,116.00716739038597
2019-09-04,120,197.40351268407156
2019-09-04,202,177.55017588338262
2019-09-04,378,208.8106489144671
2019-09-04,356,261.0374629657794
2019-09-04,111,58.65176242101792
2019-09-04,176,61.914634943842714
2019-09-04,101,57.04978371021457
2019-09-05,417,105.77862100813893
2019-09-05,400,156.23372356550405
2019-09-05,238,118.64639193517108
2019-09-05,8,115.24162222270996
2019-09-05,416,93.44740555036431
2019-09-05,346,93.7491886233641
2019-09-05,161,95.8083863193668
2019-09-05,147,110.95604441701789
2019-09-05,137,56.41691531402573
2019-09-06,140,125.77509187017516
2019-09-06,439,109.42754927218269
2019-09-06,222,85.64947875493813
2019-09-06,336,145.44003075758536
2019-09-06,368,44.416024880196446
2019-09-06,320,113.28705106039766
2019-09-06,33,96.06984062926992
2019-09-06,73,160.53894124523885
2019-09-06,278,111.62535839336137
2019-09-06,56,52.219439761289046
2019-09-06,404,92.64572567035573
2019-09-06,256,281.0337762376232
2019-09-06,187,185.02052534452332
2019-09-06,310,239.88810777294012
2019-09-06,441,239.45327761155974
2019-09-06,277,48.039529534939994
2019-09-06,340,39.269035760003106
2019-09-06,171,54.861639685700716
2019-09-06,293,65.9852008293292
2019-09-07,426,119.39401258324247
2019-09-07,240,70.22199287869016
2019-09-07,35,142.7101588703484
2019-09-07,433,133.474693192502
2019-09-07,55,56.38491452341027
2019-09-07,122,135.13631525313758
2019-09-07,320,110.3890563019294
2019-09-07,448,178.57248109700265
2019-09-07,58,187.90248175328736
2019-09-07,61,90.9040199423382
2019-09-07,346,96.64198372774162
2019-09-07,82,290.70123827875983
2019-09-07,334,207.5204442254025
2019-09-08,413,135.5527503012073
2019-09-08,179,89.7600282563732
2019-09-08,320,108.84703682403917
2019-09-08,56,58.85130327119315
2019-09-08,215,263.66737025605323
2019-09-08,378,220.83266255210927
2019-09-08,212,42.18884889473032
2019-09-08,251,46.123341541490376
2019-09-09,442,101.25343024321195
2019-09-09,21,85.44573637984544
2019-09-09,416,97.08708433489392
2019-09-09,444,84.77666389814699
2019-09-09,177,288.15325398993303
2019-09-09,173,53.47459797144558
2019-09-09,244,59.526426494256455
2019-09-10,220,121.82218334398763
2019-09-10,414,90.57202264652332
2019-09-10,189,89.8938314238247
2019-09-10,371,108.85738834179483
2019-09-10,430,137.278617723385
2019-09-10,53,53.24929978391584
2019-09-11,417,109.7379192517998
2019-09-11,34,97.7784097682285
2019-09-11,67,120.70833323474417
2019-09-11,247,145.53332136876327
2019-09-11,43,130.94589733692277
2019-09-11,371,107.74102202048829
2019-09-11,91,124.96601956173865
2019-09-11,59,275.223339285019
2019-09-11,300,227.05985733708954
2019-09-11,255,66.33780107503729
2019-09-12,392,123.3772806552635
2019-09-12,291,149.4796897864248
2019-09-12,63,79.74392101410614
2019-09-12,432,110.90111847630165
2019-09-12,397,337.474874049291
2019-09-12,285,260.50761523942043
2019-09-12,90,248.90132726110218
2019-09-13,223,99.88542335540647
2019-09-13,448,173.78069026135904
2019-09-13,10,93.6638214679126
2019-09-13,43,123.65164456982835
2019-09-13,21,76.91273663129937
2019-09-13,260,86.4253181701032
2019-09-13,66,125.10404966498388
2019-09-13,175,323.60973247895765
2019-09-13,172,236.0163655090143
2019-09-14,296,130.35382461478466
2019-09-14,421,104.28324281639132
2019-09-14,447,107.70051522821198
2019-09-14,232,176.23334102853673
2019-09-14,294,294.00100184317705
2019-09-14,199,54.53760615481227
2019-09-15,107,110.03833528018218
2019-09-15,122,137.65233813522266
2019-09-15,142,54.0200391776402
2019-09-15,146,70.68980041218087
2019-09-15,91,123.5076545289524
2019-09-15,69,223.02337342519309
2019-09-15,104,312.6232051926595
2019-09-15,174,226.65170118710236
2019-09-15,436,56.64852017355708
2019-09-15,199,60.398830365714005
2019-09-16,417,110.46634156433736
2019-09-16,275,98.80845571455824
2019-09-16,442,112.77341566858213
2019-09-16,73,158.9696231097915
2019-09-16,8,107.43026793948594
2019-09-16,438,87.48329843727245
2019-09-16,302,286.62029742157193
2019-09-16,37,325.4539379044274
2019-09-16,333,57.144312144713126
2019-09-16,255,58.74203506559685
2019-09-16,195,56.0658573358167
2019-09-16,316,41.647858853858935
2019-09-17,375,111.2884862425468
2019-09-17,222,70.7031269300789
2019-09-17,165,95.68102404649564
2019-09-17,371,96.63078608086668
2019-09-17,114,162.6729022894954
2019-09-17,91,117.14024651393301
2019-09-17,135,271.75282253345233
2019-09-17,294,286.1685015136117
2019-09-17,277,46.123851211901325
2019-09-17,86,56.178175771178246
2019-09-18,75,87.99612726417716
2019-09-18,380,102.34945888717502
2019-09-18,393,108.22750012257256
2019-09-18,11,104.8840264677068
2019-09-18,415,53.447195252078345
2019-09-18,159,107.03814478143987
2019-09-18,108,114.26803592473101
2019-09-18,56,60.70770616611939
2019-09-18,134,48.13715735055223
2019-09-18,141,54.59276251748417
2019-09-19,140,111.6347109212825
2019-09-19,220,126.83231545858433
2019-09-19,237,108.09560226745866
2019-09-19,153,79.9815700820094
2019-09-19,6,204.33031834678954
2019-09-19,202,194.29893907889013
2019-09-19,0,235.74534994304742
2019-09-20,327,84.30258236090988
2019-09-20,408,76.5308353974908
2019-09-20,107,102.36787926174561
2019-09-20,266,47.22664911117814
2019-09-20,122,147.62710262194443
2019-09-20,124,80.15380802492601
2019-09-20,112,95.26154676312657
2019-09-20,318,118.38315074553434
2019-09-20,428,126.58672525147314
2019-09-20,324,122.27209242057737
2019-09-20,404,87.47749304325554
2019-09-20,74,96.53558669238618
2019-09-20,325,249.5045111835366
2019-09-21,140,113.5036589142885
2019-09-21,417,95.49382008268236
2019-09-21,296,125.4798441199011
2019-09-21,100,123.26514772883877
2019-09-21,278,109.43923319429463
2019-09-21,68,64.35850447826549
2019-09-21,208,118.82191340955394
2019-09-21,161,87.61833320818675
2019-09-21,169,264.6749615425211
2019-09-21,202,194.3879073247929
2019-09-21,332,56.9104073191002
2019-09-21,376,41.4255447350872
2019-09-21,85,48.148862028115076
2019-09-22,92,108.18206019040925
2019-09-22,393,99.73010736192968
2019-09-22,107,107.07858576084169
2019-09-22,63,83.42210862696578
2019-09-22,260,91.0753102557366
2019-09-22,208,117.00952467063051
2019-09-22,56,54.93217566571922
2019-09-22,147,113.79064867332679
2019-09-22,447,106.70805715258626
2019-09-22,324,111.16300671798858
2019-09-22,233,285.7843273642327
2019-09-22,218,204.90810336924605
2019-09-22,193,219.28527920259964
2019-09-22,310,246.0573078253887
2019-09-22,52,53.96538744702015
2019-09-22,396,41.806599184089016
2019-09-23,414,88.33081247569311
2019-09-23,55,58.880938017119945
2019-09-23,368,58.54335522949893
2019-09-23,152,101.77493263508359
2019-09-23,153,74.95168139101885
2019-09-23,404,83.88615863078002
2019-09-23,169,253.68201269895576
2019-09-23,250,222.1049359620072
2019-09-24,96,103.6016361298853
2019-09-24,259,56.22630505378819
2019-09-24,442,106.87686224057985
2019-09-24,368,56.119255180570164
2019-09-24,247,144.54740951170066
2019-09-24,438,83.65788032060222
2019-09-24,68,60.42959669006996
2019-09-24,74,97.59777174700108
2019-09-24,364,252.47964549098853
2019-09-24,120,199.7798221751511
2019-09-24,295,263.1816783978779
